id,user,created_at,text,,,fav,RT,follower,follows
1.33273E+18,kuri_LDH_24,2020/11/28 17:01,E-girlsのことは私は何も言えない。ただプロデュースするいわゆる「事務所」だったら私も色々言ってたと思うけど、LDHはただの組織じゃないから丸ごと否定するのはできない…でも女性として憧れでしかないEgがキラキラの衣装とメイクでステージで歌って踊るってのが終わってしまうのはもったいなすぎる,,,3,0,29,24
1.33272E+18,arakidonsan1,2020/11/28 16:33,2020年最新 綾野剛 佐久間由衣 綾野剛さんの事務所は今回の熱愛報道を否定していますが、フライデー画像からは「やっぱり付き合っているんじゃないの？」と思わせるような雰囲気が漂っています！ 綾野剛さんは「３０後半で結婚したい」と言っていて、&amp;hellip。 https://t.co/Cne6CeGg71,,,0,0,0,0
1.33272E+18,___omihamasuu,2020/11/28 16:07,女の子も活躍できる場所を作るためにEGが生まれたはずなのに売り出す気ないなら最初からJ社みたいに男限定にすればよかったのにって言ったらEGの存在を否定することになっちゃうけどでも事務所のせいで今は解散がネガティブなことになってる。,,,0,0,12,0
1.33271E+18,f93313,2020/11/28 15:40,@straw3356 これ…自宅前ではなくて事務所前でやるべき事だと思います。色々な意見があると思いますし主張するのは自由、否定するのも自由だと思いますが都議会議員と言う職業をしている人の住まいに行ってやるの？せめて職場に抗議しに行きましょうよ。,,,3,0,15,48
1.33269E+18,1J1t4DHiiHYt2DE,2020/11/28 14:31,@k01r30 否定したくても自由にそのような発言をする事が出来る場がない場合はどうしたらいいのですか？当時彼は今より人気や知名度のないJr.でわざわざ事務所の公式サイトで否定してもらえるほどの立場にはありませんでしたし、手段はなかったはずです。,,,0,0,15,47
1.33268E+18,AFanWithNoName,2020/11/28 13:22,#堀北真希 は引退してないでしょ。事務所側の対応を見れば、直筆コメントでも「引退」を明言するように求めたであろうことは容易に想像できる。にも関わらず「引退」「辞める」という言葉をあえて使わなかったのは、堀北側に「引退」を否定する意図があったってこと。つまり、実際は育児休業。,,,0,0,0,6
1.33268E+18,6oH3SO1Skej3i9I,2020/11/28 13:21,誕生日のおめでとう🎊も無いそんな冷遇する事務所が春馬くんを家族だと？よく言えたもんですね😡最初の報道は午前からの撮影の現場に現れなくて不審に思ってマネージャーご迎えにと･･･？49日に完全否定しましたよね午後からの撮影、自宅に迎えに！何時に？＃約束の時間＃三浦春馬,,,0,0,12,0
1.33267E+18,37s_accessory,2020/11/28 12:53,明らかに盗作は悪い。だから今回は2年前のことだろうが、自分のものだと言ってそれで対価を得た以上事務所も本人もそれなりに謝罪をするべきだと思う。でも、だからといって樹が今までして来たこととか、散々悩んで頑張って色んな気持ち乗せて作ったリリックとか全部が否定されてしまうのは辛い。,,,0,1,48,4
1.33265E+18,EGfamily_best,2020/11/28 11:35,LDH事務所を潰したいとか言う人もおるんか。そんなこと言ってE-girlsが喜ぶとでも思いますか？こんなにも否定的にされてるE-girlsが可哀想でしょうがないです。せめて尊重くらいしてください。いやー、でもライブ最高ですね！メンバーの笑顔が素敵すぎ！嬉しくたまらん☺️,,,0,2,1732,1879
1.33264E+18,AFanWithNoName,2020/11/28 11:06,#堀北真希 は引退じゃなくて実際は育児休業だよ。「円満退社」という建前上、事務所の主張する「引退」を真っ向否定するのは難しいけれど。今 否定をしてマスゴミに周辺をうろつかれるのも御免だしね。でも堀北サイドの誰も「引退」「辞める」とは言ってないし。育児が落ち着けば活動を再開するよ。,,,9,3,548,1065
