id,user,created_at,text,fav,RT,follower,follows
1325182121502109702,arakidonsan1,2020-11-07 21:03:33,2020年最新 綾野剛 佐久間由衣 綾野剛さんの事務所は今回の熱愛報道を否定していますが、フライデー画像からは「やっぱり付き合っているんじゃないの？」と思わせるような雰囲気が漂っています！ 綾野剛さんは「３０後半で結婚したい」と言っていて、&amp;hellip。 https://t.co/Cne6CeGg71,0,0,1637,1776
1325154870186291207,nakano3dai,2020-11-07 19:15:15,愛する息子に心から会いたい。幼い息子から唯一の父親を奪わないでほしい。私がミツカンと森・濱田松本法律事務所に望むことはこれだけです。親子引離しは国際法に違反する人権侵害で、”親子が互いに愛しあう”という”人の尊厳”を否定する行為です。＃ミツカン父子引離し事件https://t.co/x0KMdE4Eri,172,49,4955,5086
1325112049412710402,618__6t1s,2020-11-07 16:25:06,きょもほくらじらー聴きますね。前は事務所公認の不仲って言っ(われ)てたから不仲を否定してる時点で雪解けしてんだよなーーー！,0,0,0,17
1325106474847141893,satokan_3104,2020-11-07 16:02:57,そっか、この記事を否定してしまうと他の記事は本当だったのか？という流れになってしまう。。事務所〜😢,2,0,33,79
1325102608474800129,nino_spoon,2020-11-07 15:47:35,天才発言とかは本気で思ってることだから言うしいじるのは面白くなるからええよ😊事務所に入ってから、つい忘れてたけど大前提に俺の配信はリスナーを楽しませる為の配信ちゃうからな？俺が好きに話す為の配信で共感ある人だけ聴いてくりゃええディスりや否定するコメはシカトします。,2,0,3756,583
1325097532754546688,HANHAKANA,2020-11-07 15:27:25,@riko_ox_skz 事務所コメントしないって言ってて否定しないんかいってなったまぁお相手は一般人やもんなそれにしても良い大人が20代のアイドルの女の子のヌードデッサンをインスタに出すのは芸術的に見れないし彼女の職をあんまり理解してなさそう,0,0,319,246
1325093006655934466,a_a0906usapyon,2020-11-07 15:09:26,沈黙はある種の肯定だ。誤解や臆測、デマや誹謗中傷があるとするなら、きちんと問題部分を指摘しつつ否定や訂正、補足をしなければ肯定と受け止められても文句は言えない。無実を訴える側がそれを証明するものなら、事務所もそれらをきちんと立証する必要があるのでは？,0,0,6,22
1325090095729405958,PSeamo,2020-11-07 14:57:52,【じゃる】うんこちゃんが所属する事務所MURASHの社長。ゴリラ。イベルトを通じて知り合った。うんこちゃんの配信スタイルや視聴者を決して否定せず、「その加藤純一をマネジメントするんだから、それ変えちゃったら意味がない」と言い切った。その考え方にうんこちゃんが惚れ込んだ。,0,0,1129,5
1325078477377187842,yunatsucho,2020-11-07 14:11:42,はっ？？2017年からの再始動やったらhistoryって名前つけんなよ。彼らの2017年以前の存在を事務所が消すって何考えてんの?? アホなん？あんなけ頑張って頑張って日韓行き来しても笑顔でずっと一生懸命やってきたユノチャミの存在も否定してるって事、事務所はわかってんの??アホなん？ #東方神起,0,0,155,193
1325075615146409986,MAYU28758405,2020-11-07 14:00:20,春馬さんは、事務所や共演者やファンに迷惑かけるようなことは決してしません。美しくて清くて強い人です。今のままでは、それらが否定された状態です。覆してください。春馬さんの名誉を守り、功績を残してください。#お願いアミューズ@amuse_official,5,0,15,6
