id,user,created_at,text,fav,RT,follower,follows
1324851027175112704,maki102106352,2020-11-06 23:07:54,@fqeqxqpxgpx2764 星○源あたりからなんですかね、すっかり事務所イルミにのっとられてますね😰所属タレント、上手く立ち回れるのか…高橋優さんの退所わかりますね…そういえば、昨日ファンを否定するニュースまででてました、春馬君の作品の販売中止とかにならなければいいですが🥵,0,0,82,116
1324813596165992449,chiekaigo,2020-11-06 20:39:09,この方の一般社団法人ググると一応出てくるんだけど業務実態がわからない。一般社団法人は二人以上が必要なんだけどもう一人の方にきちんと賃金支払われているのか、貸事務所だと思われるけどそこの家賃もどうやって払っているのか。批判否定と言われるがまずは何やってるのかがわからない。 https://t.co/oQwdrjBGjq,6,1,188,173
1324761048243609600,98A9T17GBBPEfL4,2020-11-06 17:10:21,絶対ラブを当時否定した事務所の上の人、トラジャの事を嫌ってそうな気しかしないのは私だけ？？？,2,0,7,0
1324719034265346048,qo3DILR4aeTpxDa,2020-11-06 14:23:24,おちぇんはこの画像だけで熱愛確定って言われて事務所もほぼ認めてるようなもんだけど、じょんぐくはお揃いもハグ写真も撮られてるのに未だに否定してるの面白いよね。 https://t.co/CsA5Y9vEr2,4,0,46,47
1324714044956106752,casse_blanc,2020-11-06 14:03:34,普通に考えたら今回事務所が肯定も否定もしないのは本人に聞いたところ熱愛が真実でこれからさらにそれを確定するような情報が上がってくる可能性があるからどうにも動きが取れないのかなと考えるけど,0,0,1,2
1324706984453496832,RiKu_CY,2020-11-06 13:35:31,チェヨンの熱愛説を本気で応援してる人の気が知れんのですけど。普通、彼氏が彼女のヌードデッサンをインスタに載せますかね？それも21歳で大人なったばっかの子の。それを芸術といって片付けてしまえば楽なのだろうけど僕は芸術だとは思えない。相手はアイドルだぞ。事務所も否定せんのかい。,351,18,1380,1686
1324706435834408961,obakenoQ1101,2020-11-06 13:33:20,雑誌を受けた事務所の記事では「検死」と書かれていました。「検視」と「検視」は間違いなく調べる内容がちがうはずしかし密葬も早くされている顔にアザや骨折があれば家族が否定しても解剖されます検案書も書かれます雑誌の文字を良く見て下さい https://t.co/Lp0PnpsQud,34,7,1769,1757
1324706086138511367,uu69725305,2020-11-06 13:31:57,一緒にしないでほしい､引き合いに出さないでって言ってるマンネペンいたけどこんだけ色々と類似してたらそりゃ言われるわな笑事務所が見え見えの否定コメした事くらいしか違いないから😂,4,0,154,87
1324706041666310147,midorikori,2020-11-06 13:31:46,@nesu20 12月28日 新事務所発表記者会見12月31日 復帰記者会見会見は彼女の復帰会見で所属レコード会社のワーナーパイオニアがセッティングしました「婚約会見と騙すための金屏風」という話は裁判で負けた暴露本がネタ元であり彼女は完全否定しています捏造話の検証です↓https://t.co/KAkH5H7RBe,0,0,21,2
1324704199808962560,klz8As70S6i3LxZ,2020-11-06 13:24:27,@KurataTetsuro 反対派が二重行政は維新が解消したと言うが大学、港湾、迎賓機関、研究所、海外事務所などの統合に府議会賛成市議会は反対と同じ自民でも考えが違い都構想反対派は市が広域行政から手を引く事を明確に否定している。つまり反対派が市長になれば再び成長戦略も観光もあらゆる二重行政は復活する。,0,0,58,22
1324701527034851329,yn_tn6557,2020-11-06 13:13:50,今までよく買ってました！でも、これ程まで心も品格もない記事を書かれるとは…人間性を否定する記事に、恥ませんか？大手事務所所属でないからか。もう、買うことも見ることもありません！ https://t.co/38paslb06Y,14,2,247,220
1324701375607889922,wakana_kim,2020-11-06 13:13:14,事務所も否定しないってことは本当なのかな...別にチェヨンちゃんが誰と付き合おうと応援はしたいけど、デッサンをSNSに投稿するのはね...😂😭付き合ってたとしても絶対違うと思う。 https://t.co/a1icXLEgW4,11,0,1865,3482
1324700573325615104,50shio,2020-11-06 13:10:03,御前試合の羽風先輩だったら「普通に喋れてるから！終わってからニヤニヤもしてないしそもそも業務連絡は事務所のスタッフとも取ってるしあんずちゃんだけじゃない！」ムーブをかましそうなのに今回は「うるさいよ仲間たち」だけで否定しないのがすごい　業務連絡だけでも話せてよかったね☺️,1,0,70,67
1324693567512616960,Mnkse4Hr3HLhDyd,2020-11-06 12:42:12,TWICEチェヨンにタトゥーの彫師との熱愛説 事務所は否定も肯定もせず #ldnews https://t.co/WkIR4og15Q,0,0,318,1216
1324683694364241921,kaoru_18FTSJA,2020-11-06 12:02:58,@nana_hanl 事務所は別れされたいけど、否定するともっと明確な証拠出されるから嫌だってことなんだろうね,0,0,174,661
1324677504112619522,tanitani_chan,2020-11-06 11:38:22,TWICE3人目の熱愛報道…！事務所は肯定も否定もしていないみたいだけど、どうなんだろ？真実が気になる。。#TWICE #チェヨン #チムファサ #onceと繋がりたい https://t.co/t1NSTBpLgX,2,0,1,8
1324676442152579074,teas_bot,2020-11-06 11:34:09,「ちょっと大げさじゃないか？私はむーおかの人格を疑ったことはあっても否定したことは無いぞ」（天川）【月並物語―む～おか探偵デザイン事務所―】,0,0,55,0
1324675407543631872,kaigai_joho,2020-11-06 11:30:03,TWICEチェヨンにタトゥーの彫師との熱愛説 事務所は否定も肯定もせず https://t.co/MBJGKESgR9,0,0,9951,10299
1324670396411437061,tamaP99365840,2020-11-06 11:10:08,よくよく考えたら事務所はこれまでも表立った否定をしてこなかった訴えてもおかしくない様な記事でもだから今回も表立っての否定はないだろうなぁ海外、スポンサー等々は裏で話して解決済、山Pの活動自粛が表向きで…1人ならそれでいいけど、差をつけたからおかしな事になってしまった…😑💭,2,0,2,4
1324643151747850240,dayofsea_715,2020-11-06 09:21:52,事務所(に所属してる自担)も好きだし事務所の外のひと(主に新しい地図)も好きなので一方を否定されると言葉足らずで申し訳ないけど、ムカつく。,0,0,16,22
1324636869057896450,twice_doremi,2020-11-06 08:56:54,事務所も否定してないのかぁ…onceとしてチェヨンが選んだのはいいよ？幸せならonceは嬉しよ？でも、なんか複雑な気持ち本当のこと言うと昔のバブいチェヨンが好きだな。VLiveでも前赤ちゃんとかについて言ってたけど、、 https://t.co/3QTPAPvzG3,20,0,2013,2589
1324633973029367808,Taka_EN07,2020-11-06 08:45:24,@yt15445073 V専門事務所も良いけど🤔YouTuber事務所なら！マルチ展開できそなんだけど〜否定してるのなら仕方ない😂👍,1,0,661,869
1324629640619589633,TWICE171222ONCE,2020-11-06 08:28:11,曖昧にしてたら有る事無い事話上がるんだから事務所は否定か肯定はしろよ,10,0,179,121
1324629206354087936,GOMAmura,2020-11-06 08:26:27,ホン・ジニョン、論文の盗作疑惑を否定…事務所がコメント「審査した教授にも確認…絶対にやっていない」 https://t.co/wUhcwn93WK,0,0,1155,1135
1324628670082854912,KTIMES_APP,2020-11-06 08:24:20,ホン・ジニョン、論文の盗作疑惑を否定…事務所がコメント「審査した教授にも確認…絶対にやっていない」 https://t.co/tbSQ8LHAZ1,0,0,104,28
1324627661402988545,FunnyLittleBaby,2020-11-06 08:20:19,”週刊誌報道に抗議する事務所しない事務所の差って～春馬ロス”（＋沈黙することで想像できること）⇒ https://t.co/Qla24Vref6 #アメブロ @ameba_officialより 芸能事務所の沈黙は、三浦春馬氏の自死の否定でもあると思う。#三浦春馬#カネ恋#tbs #日本が危ない #在日朝鮮人,1,0,659,1249
1324622308019941377,ChoSekaiNews,2020-11-06 07:59:03,TWICEチェヨンにタトゥーの彫師との熱愛説 事務所は否定も肯定もせず記事を読む 【出所：ライブドアニュース　厳選】https://t.co/GzzNAlZEbt,0,0,592,784
1324621803168387072,isimasa2011,2020-11-06 07:57:02,TWICEチェヨンにタトゥーの彫師との熱愛説 事務所は否定も肯定もせず https://t.co/0It03Qn7hU,0,0,518,893
1324619838594064384,Nalltzu,2020-11-06 07:49:14,もう誰も匂わせしないでくれん？チェヨンちゃんが熱愛なのはもうわかったよ。否定しないもん事務所。3/9彼氏持ちとか辛すぎるよ。ジヒョモモは正直ショックじゃなかったけど給食団が好きすぎるからこそ本気で辛い。彼氏と幸せにね。,41,0,1,3
1324606261380276225,XR8gehmLElFuhyb,2020-11-06 06:55:17,@lilrotenburo 確定だと思います……嘘だったら事務所もきっちり否定しますが、曖昧な答えだったので……,0,0,4,14
1324604468176932866,kpopbbti,2020-11-06 06:48:09,韓国の芸能事務所にしては珍しく否定も肯定もしないという、、、 https://t.co/xo7frns4aU,0,0,93,142
1324604113477267457,_JYP_TWICE_ONCE,2020-11-06 06:46:45,疑惑に上がった方が一般人だし、JYPの「公式的立場はございません。」のコメントが最適解だと思う。ジヒョ様とももりんは、お相手が芸能人だから双方の事務所と本人が話し合って双方が認めたのであって、一般人となると、否定も肯定もすることは難しいんじゃないかな。,5,0,319,323
1324603885529358336,ryuka06057739,2020-11-06 06:45:50,https://t.co/QmmjEG546I事務所は否定も肯定もしない。てことは肯定、てことで良い？ちなみに私は熱愛全然OKな人🙌解禁されるまで誰も熱愛なんて騒がれないくらい、これまでファンの為に頑張ってくれたんだもんねアイドルであり1人の女の子だもん😳幸せになって欲しいな😍😍,4,0,2069,85
1324600902414594049,fjxxxx,2020-11-06 06:33:59,EXO・チャニョルの十股疑惑もTWICE・チェヨンの彫り師との熱愛も事務所が一々否定しなかったといふだけで認めたわけではないですよ。,3,0,348,2332
1324598053165096960,komugi_twit,2020-11-06 06:22:40,＃三浦春馬　さんの作品を楽しみ自由に評価することと、事務所に責任を問うことは、両立すべき。彼の作品の感想や評価はどんどん呟きたい。タブー視されないためにも。でも「カネ恋」について否定的なことを呟けば「やめてください」とリプが来る。意見は自由ですが「やめてくれ」は言論統制と同じ。 https://t.co/LfiO4dLXOq,11,4,41,46
1324587321723777024,arakidonsan1,2020-11-06 05:40:01,2020年最新 綾野剛 佐久間由衣 綾野剛さんの事務所は今回の熱愛報道を否定していますが、フライデー画像からは「やっぱり付き合っているんじゃないの？」と思わせるような雰囲気が漂っています！ 綾野剛さんは「３０後半で結婚したい」と言っていて、&amp;hellip。 https://t.co/Cne6CeGg71,0,0,1637,1776
1324583612734349312,mayupom1113,2020-11-06 05:25:17,事務所が否定も肯定もしないってことは本当かなーとは思うけどアイドルとは付き合わないだろうなーアーティスティックな人と付き合うだろうなーって思ってたからなんとなく噂に出てる人で納得してる。真実は分からんけど幸せでいて欲しい,5,0,310,310
1324576294454001664,xxx15058537,2020-11-06 04:56:12,いい大人の恋愛に所属事務所がどーこー言わないのはいいと思うけど、否定しなかったら肯定と取られるのは仕方ないし、この先チェヨンちゃんが言うのかどうかは知らんが、活動しづらくならないようにはしてほしいねただネット民に疑惑出されるのはどうなのか…,2,0,7,0
1324553599578378240,kpopbbti,2020-11-06 03:26:01,チェヨンの件JYPなんも言わないねこーゆうの韓国の事務所なら事実なら事実って言うし、違うなら事実無根ってちゃんとはっきり否定するからまあカムバ活動中だから大人の事情でもあるのかな,1,0,93,142
1324549572631298048,Kstyle_news,2020-11-06 03:10:01,ホン・ジニョン、論文の盗作疑惑を否定…事務所がコメント「審査した教授にも確認…絶対にやっていない」https://t.co/crg4OBmtYH,58,4,800714,30575
1324548537741463552,cinemanavi2017,2020-11-06 03:05:54,ホン・ジニョン、論文の盗作疑惑を否定…事務所がコメント「審査した教授にも確認…絶対にやっていない」 https://t.co/sMCziCwJNK,0,0,256,1765
1324535509742309378,59__luv,2020-11-06 02:14:08,チェヨンちゃんの熱愛が嘘だったら少し前に噂になったときに事務所がすぐ否定してたと思うけど、、本当だからこんな記事がでるまでなにも言わないのかな、、,1,0,1,242
1324530505073655812,loveshuse,2020-11-06 01:54:15,...お金の為には頑張ってくしかないんだけど、、。なんだかまた、N氏に事務所に呼ばれる事態がすんげぇ恐怖だって解んないかなぁ(´･ ･`)私は表現しようしようって頑張ってる。なのにそれを否定するんだよね。てめぇが居るからそこ働き #コミュ障  過食症,0,0,128,308
1324526364829970432,ENp5ytzmN08qAiE,2020-11-06 01:37:48,考え方が違う人も沢山いるでしょう。私自身は考えは人それぞれだと思うので否定しません。ただし、出処が怪しい情報を真実と信じて、事務所・春馬さんの仲間や友人・仕事を共にしたスタッフさん方を悪者と決めつけ誹謗中傷をするのは許せません。人を責められるのは確固とした証拠があるときだけ。,18,2,46,18
1324518342883831809,harumame86,2020-11-06 01:05:55,信用してない事務所から説明されたって納得しないとか思われてそう。じゃあ勝手に報道された時系列をさっさと否定して、さっさと事実確認して発表したらよかったのさ。個人的思いだし、ごめんなさいだけど、あの日から何も誠意を感じない。虚しくなるほど。,4,0,30,34
1324514291060334594,re666666i,2020-11-06 00:49:49,ジャニーズ事務所、別に表立って恋愛結婚禁止してないんだから全然既婚者でいいし、むしろ私は一人の女の人だけを生涯愛しますって決めた既婚者ってｷﾞｭﾝとするんだけど、好きな人たちの幸せは否定せんから一先ずどんな形であれ今日も推しが幸せであれ！！！,1,0,14,29
1324504642483490817,inFV7vNK22avS8b,2020-11-06 00:11:29,@m31O4m 写真が全て週刊誌の捏造で事実無根だというのなら、さすがに事務所も黙っていないだろうと私は思うだけです。否定できないのは真実も含まれてるからだろうと思うだけです。全て偽造だと思われるのも自由だと思います。以上にしてください。,1,0,1087,291
1324502046582534144,minimini868686,2020-11-06 00:01:10,@YDdV8S4iwYXjR2s 残ですね…春馬くんが出来た人間だから、いつも事務所にも謝辞を述べ感謝し不満をあまり言わないから、それだけを見てきて、今さら違う現実に向き合うのが怖いのか、10年分の自分を否定したくないかしら… 勿論私もそんな事務所だなんて想像してなかったし、気付けなかった…,2,0,39,102
