id,user,created_at,text,fav,RT,follower,follows
1323404623877562369,kazeno_travler,2020-11-02 23:20:24,立憲民主党・今井雅人がデマ 菅首相が否定https://t.co/ncXzFc0FIR,0,0,1774,2016
1323392529958465536,xeswo,2020-11-02 22:32:21,@imai_masato なんで嘘言ったんですか？公の場で話す前にファクトチェックはしましたか？立憲民主党・今井雅人がデマ 菅首相が否定 https://t.co/deeIgXwX7t @YouTubeより,0,0,111,732
1323388671362387968,ikarostayuu,2020-11-02 22:17:01,どうせ大製薬会社からの圧力で否定されるだろうけど。震災時の黒い雨のようにデマだとなったら、信じたほうが良い。私もデマ女と攻撃されまくったし。逆に嘘を見抜いて反撃したのさ。酷い被爆で間もなく死ぬと覚悟したからね。親達への警鐘をと。 https://t.co/s1Oh4Qcjy9,7,1,8724,900
1323382669439283205,LoveRyuseiJapan,2020-11-02 21:53:10,@taka59971420 高須幹弥先生も　否定してますよね。完全なデマです。https://t.co/54fDXmcqxL,0,0,1256,1261
1323382610647658497,kazeno_travler,2020-11-02 21:52:56,『立憲民主党・今井雅人がデマ 菅首相が否定』これでいいのか？戦後日本「より良き日本を..｜https://t.co/mw5AoZGqU1,0,0,1774,2016
1323335348240277506,qJDOtQM1ZMJZKOd,2020-11-02 18:45:08,@imai_masato 立憲民主党・今井雅人がデマ 菅首相が否定,0,0,3,30
1323330650972172288,hDNx3QrHIIrDivS,2020-11-02 18:26:28,立憲民主党・今井雅人がデマ 菅首相が否定 https://t.co/7tdAosJxrd @YouTubeより,2,1,834,985
1323322154239381504,hiroshimilano,2020-11-02 17:52:42,慰安婦問題は当事国の日本や韓国、中国でなく利害関係のない第三者が多くの国で調査した国連の報告レポートで結論が出ているのです。それを加害者国の日本がクソみたいな新説で否定しているにすぎなく、嫌韓本などで披露されるその「新説」も日本の歴史専門家が書いた本を読めばすぐにデマだと分かる,61,22,17630,1497
1323317450440658944,AceNakagaki,2020-11-02 17:34:00,#西成中華街-デマまさか、関西人はこのコメントを鵜呑みにはしない。今井のアホの個人的見解やで。維新は否定。ただ、都構想反対派もレベル低いなー https://t.co/s1BBZ4jx5q,0,0,4,34
1323303437648367616,kizusi,2020-11-02 16:38:19,立憲民主党・今井雅人がデマ 菅首相が否定 https://t.co/LIAkUfa3Vk @YouTubeより,3,1,5947,5983
1323298342873362434,Miiya_Now,2020-11-02 16:18:05,@F6_pfy フォロー外から失礼します。この人有名な人でこういうデマたくさん流してるんです。今の状況でこういう事書くと信じてしまう人いると思うので辞めてほしいですね。ちなみにバス会社2軒に対して同様のデマを流して2軒ともこの件を否定するリリース出してました。あと、この人逮捕歴あります。,0,0,64,334
1323292743519490048,yuukipa,2020-11-02 15:55:50,立憲民主党・今井雅人がデマ 菅首相が否定 https://t.co/M6pPYoxBVi @YouTubeより,0,0,236,356
1323288790421573634,cocoroncoc,2020-11-02 15:40:07,@eVDBGQP1vRkvakv @timobobby1 @You3_JP ええ。観察研究です。いくらでも恣意的に弄れますよね。ただ、最近はYouさんも、マスク推奨派から目を付けられていて、少しのデマも、マスク否定論者は非科学的と断じられるキッカケとなっているので、差し出がましく指摘させていただきました。デンマークのRCTの公開が待たれますね。,2,0,1288,4156
1323268900704808961,Dokyuso2012Tdn,2020-11-02 14:21:05,今回の大阪都構想の住民投票。普段、愛国者として立派なご意見を書かれてる方々が、こぞって共産党のデマに騙され、政策を知りもせずに大阪知事と市長の人格否定に走ったことには、正直こわさを感じた。極左たちの完勝だ。大阪は元のダメ府政に戻るかもね。#大阪都構想,12,1,3369,4158
1323262194977370118,myst_break,2020-11-02 13:54:26,@beorn0720 @YatagarasuOyaji サヨクの強いところは、ブーメランもダブルスタンダードも全く意に介さないところです。我々がいくら指摘しても、どこ吹く風。明らかなデマは都度否定しないといけませんが、一度返した上で無視して先へ進むのが良いと、最近思います。例えばモリカケ桜学術会議も、同じ答えをひたすら返すとか。,1,0,1845,4918
